subject,appearance
Better logging,64
Update python,64
"The Sampler can now return a random action, generated with the help of the ObjectGenes (rather than just randomizing the other types of genes).",64
WIP: major refactoring incoming.,64
Initial stages:,64
calcs/hazard/classical/post_processing:,64
Updated Traditional Chinese translation(Hong Kong). Updated Traditional,64
Bug Fixes,64
Bump lodash.merge from 4.6.1 to 4.6.2,64
Merge branch '1.0' into 1.1,64
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/mszeredi/fuse,64
Merge branch '100GbE' of git://git.kernel.org/pub/scm/linux/kernel/git/jkirsher/next-queue,63
Update openssl on AT next,63
More cleanup.,63
Bug-fix.,63
        Windows build fix,63
Merge tag 'scsi-misc' of git://git.kernel.org/pub/scm/linux/kernel/git/jejb/scsi,63
import zuul job settings from project-config,63
"	reviewed by: John Sullivan <sullivan@eazel.com>",63
Translated using Weblate (Macedonian),63
Merge remote-tracking branch 'origin/KDE/4.14',63
Renames:,63
Merge remote-tracking branch 'origin/cdn',63
Merge branch 'stable-2.12',63
Some fixes,62
Fixed tests [skip hazardlib],62
00_SIGNALduino.pm,62
Bump junit from 4.12 to 4.13,62
# WARNING: head commit changed in the meantime,62
l10n: Updated Romanian (ro) translation to 100%,62
Merge branch '1.x',62
; Merge from origin/emacs-26,62
Small fix [skip hazardlib],62
Merge branch 'stable-2.9' into stable-2.10,62
update ReleaseNotes.md,62
Show team and repo badges on README,62
Merge from gnulib,62
Updated Norwegian bokmål translation. Same.,61
Bump puma from 4.3.3 to 4.3.5,61
Fix a typo.,61
Merge branch 'for-linus' of git://neil.brown.name/md,61
Merge branch '1.8',61
Updated Dutch translation by Wouter Bolsterlee.,61
Pontoon: Update Russian (ru) localization of AMO,61
Pontoon: Update Italian (it) localization of AMO,61
Merge branch 'for_linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tytso/ext4,61
Bug fix,61
"Refactoring done. UsedObj is a new class, meant to store the objects used by a particular individual, as well as the connection between individual genes and the fields of those objects they use.",61
Bump alpine,61
Various fixes,61
Merge tag 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/dledford/rdma,61
LaCrOS: Replace defined(OS_CHROMEOS) with BUILDFLAG(IS_CHROMEOS_ASH),61
Bump http-proxy from 1.18.0 to 1.18.1,61
Merge branch 'hwmon-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jdelvare/staging,60
Merge from mysql-5.1-innodb:,60
build: Updating eslint-utils to 1.4.2,60
        Reviewed by Chris.,60
Merge branch 'staging' into 'master',60
Merge branch 'bitcoin' into auxpow,60
Typo,60
More fixes,60
tests/utils/helpers:,60
Merge branch '1.7',60
Merged master branch,60
[Security] Bump mixin-deep from 1.3.1 to 1.3.2,60
Merge branch 'for-linus' into for-next,60
Bump Microsoft.NET.Test.Sdk from 16.7.1 to 16.8.0,59
bug fixes,59
Merge branch 'master' of git://git.kernel.org/pub/scm/linux/kernel/git/klassert/ipsec,59
Merge branch 'hns3-next',59
[Security] Bump websocket-extensions from 0.1.3 to 0.1.4,59
drm/i915: Convert wait_for(I915_READ(reg)) to intel_wait_for_register(),59
        Reviewed by Maciej,59
scf convergence studie,59
build: Updating mediawiki/mediawiki-codesniffer to 15.0.0,59
        Reviewed by Tim H.,59
Translated using Weblate (Uyghur),59
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/geert/linux-m68k,58
Merge remote-tracking branch 'remotes/jasowang/tags/net-pull-request' into staging,58
chore(release): 1.0.0 [skip ci],58
Merge git://git.kernel.org/pub/scm/linux/kernel/git/jejb/scsi-rc-fixes-2.6,58
Convert files to typescript,58
Fix the build.,58
branches/zip: Minor cleanup.,58
Merge trunk into HA branch.,58
Translated using Weblate (Tamil),58
refs #291,58
Post release version bump,57
(merge from 3.0),57
Merge branch 'master' into sf3,57
Pontoon: Update French (fr) localization of AMO Frontend,57
Merge commit 'lamby/master' into merge,57
Translated using Weblate (Sardinian),57
[Security] Bump nokogiri from 1.10.2 to 1.10.3,57
Merging fixes and enhancements into trunk.,57
Update changelog,57
part of WL#6189 Turn InnoDB persistent statistics ON by default,57
build: Bump devDependencies to latest,57
Merge branch 'for-next' of git://git.samba.org/sfrench/cifs-2.6,57
[NEW TYPE INFERENCE],57
Update changelog [skip ci],57
Refactor,57
top level:,57
Accumulated commit of the following from branch 'origin/ready/mmj':,57
Bump lodash.template from 4.4.0 to 4.5.0,56
Fix failing tests,56
mut@nt: update bsp,56
Formatting for ktlint 0.39.0,56
More logging [skip CI],56
Switch to newer openstackdocstheme and reno versions,56
Merge from emacs--rel--22,56
Fix [skip hazardlib],56
procd: update to latest git HEAD,56
Merge branch 'master' into alchemy_tree,56
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/ebiederm/user-namespace,56
Small renaming,56
Merge branch 'master' of git://github.com/psychopy/psychopy,56
gas/testsuite/,56
switch documentation job to new PTI,56
Translated using Weblate (Spanish (Argentina)),56
        Reviewed by Dan Bernstein.,56
Merge remote-tracking branch 'origin/development',56
pep8 fixes,56
Merge branch 'master' into 4.3.4,56
Pontoon: Update Hindi (hi-IN) localization of AMO,56
update wifi lib,56
Cleanup.,56
Update master for stable/train,56
Update master for stable/ussuri,56
Merge branch '3.3.x',55
Unused import,55
Update master for stable/stein,55
fix: .snyk & package.json to reduce vulnerabilities,55
Merge updates from project template,55
[Security] Bump nokogiri from 1.8.4 to 1.8.5,55
Merge tag 'armsoc-fixes' of git://git.kernel.org/pub/scm/linux/kernel/git/arm/arm-soc,55
Merge branch '2.x' into 3.x,55
Bump rack from 2.2.2 to 2.2.3,55
Translated using Weblate (Latvian),55
Update.,55
Merge branch 'master' into 3.0.0,54
Bugfix,54
Merge branch 'develop' of ssh://stash.concentricsky.com/bp/badgr-server into develop,54
        Reviewed by Richard.,54
fixes,54
Merge branch 'for-davem' of git://git.kernel.org/pub/scm/linux/kernel/git/linville/wireless,54
Fix a typo,54
PNaCl: Update LLVM revision in pnacl/DEPS,54
Updated Spanish translation,54
Tests:,54
Bump lodash.mergewith from 4.6.1 to 4.6.2,54
bug fixing,54
Merge branch 'maint-1.0',53
Bump js-yaml from 3.12.0 to 3.13.1,53
Merge branch 'develop' of https://github.com/Sage-Bionetworks/Synapse-Repository-Services into develop,53
[Security] Bump lodash from 4.17.11 to 4.17.14,53
        Windows build fix.,53
Update translations,53
Merge ath-next from git://git.kernel.org/pub/scm/linux/kernel/git/kvalo/ath.git,53
Merge branch 'develop' of github.com:collectiveaccess/providence into develop,53
Merge git://www.linux-watchdog.org/linux-watchdog,53
git subrepo push cucumber-expressions/javascript,53
Remove unused variables,53
Version 3.3.1 ,53
minor changes,53
gdb/,52
Merge branch 'master' of git://git.kernel.org/pub/scm/linux/kernel/git/klassert/ipsec-next,52
[Security] Bump loofah from 2.2.2 to 2.2.3,52
Translated using Weblate (Welsh),52
Apply translations in pt_BR,52
tweaks,52
Bump Microsoft.NET.Test.Sdk from 16.6.1 to 16.7.0,52
Added comment [skip CI],52
        Reviewed by Kevin.,52
build: Updating mediawiki/mediawiki-codesniffer to 33.0.0,52
Merge remote-tracking branch 'couchbase/mad-hatter',52
Update status file,52
Update kernel headers,52
Zuul: Remove project name,52
reviewed by: Darin Adler <darin@eazel.com>,52
Merge branch 'master' of github.com:gem/openquake,52
Merge branch 'misc-fix',51
configs: Resync with savedefconfig,51
Pontoon: Update Turkish (tr) localization of AMO,51
Update python on AT next,51
Merge branch 'master' into rails4,51
Update master for stable/victoria,51
Bump maven-javadoc-plugin from 3.1.1 to 3.2.0,51
Merge git://git.kernel.org/pub/scm/linux/kernel/git/rusty/linux-2.6-for-linus,51
Updated Norwegian bokmål translation. Same,51
Updated Estonian translation by Ivar Smolin <okul@linux.ee>.,51
Backup and Image scripts,51
Estonian translation update by Ivar Smolin.,51
Improvements,51
build: add GitHub actions config for unit tests,51
Fix test,51
Update openssl on AT 11.0,51
Merge branch 'perf-core-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,50
Merge branch 'tp32',50
qviart: update bsp,50
[Security] Bump ini from 1.3.5 to 1.3.7,50
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/drzeus/mmc,50
gigablue: update bsp,50
Bump loofah from 2.2.3 to 2.3.1,50
Cleanup [skip hazardlib][demos],50
Wave of documentation.,50
Merge remote-tracking branch 'origin/master' into 4.3.4,50
Merge branch 'develop' of https://github.com/ONLYOFFICE/sdkjs into develop,50
; Merge from origin/emacs-27,50
Bump Microsoft.NET.Test.Sdk from 16.8.0 to 16.8.3,50
Update php,50
Define npm peer dependency explicitly,50
Bump eslint from 7.10.0 to 7.11.0,50
Bump eslint from 7.6.0 to 7.7.0,50
[TASK] Update composer manifest,50
l10n: Updated English (United Kingdom) (en_GB) translation to 100%,49
Merge branch 'master' into staging,49
[split] Squashed commit of the following:,49
Bump Microsoft.NET.Test.Sdk from 16.4.0 to 16.5.0,49
Bump Microsoft.NET.Test.Sdk from 16.7.0 to 16.7.1,49
Merge branch 'unstable',49
Use HTTPS instead of HTTP to resolve dependencies,49
WIP,49
[Security] Bump rack from 2.0.7 to 2.0.8,49
Merge branch 'timers-fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/linux-2.6-tip,49
Merge tag 'arm64-upstream' of git://git.kernel.org/pub/scm/linux/kernel/git/arm64/linux,49
Updated traditional Chinese translation.,49
Remove setting of version/release from releasenotes,49
formuler: update bsp,49
Translated using Weblate (Kurdish),49
Merge branch '1.1' into 1.2,49
Clean up,48
Windows build fix,48
Merge changes from github. END_PUBLIC,48
Remove usages of WebContents::GetRenderViewHost().,48
        Reviewed by Geoff Garen.,48
Merge branch 'master' of https://github.com/BabylonJS/Babylon.js,48
web build for heroku,48
Merge from origin/emacs-24,48
Dutch translation updated by Reinout van Schouwen.,48
Merge branch 'master' of git://github.com/OpenViX/enigma2,48
Bump acorn from 7.1.0 to 7.1.1,48
Merge branch 'stable-2.8' into stable-2.9,48
Merge branch 'branches/rudder/2.3' into branches/rudder/2.4,48
Misc fixes,48
refactoring,48
Enable release notes translation,48
Merge branch 'core-rcu-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,47
Merge branch 'sched-core-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,47
Merge branch '1.12',47
l10n: German update,47
Merge git://git.kernel.org/pub/scm/linux/kernel/git/davem/net-next,47
Translated using Weblate (West Flemish),47
ChangeLog:,47
        Reviewed by Trey.,47
Merge branch 'tracing-fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/linux-2.6-tip,47
Merge remote-tracking branch 'kwolf/for-anthony' into staging,47
Merge branch 'devel' of github.com:Jean-Romain/lidR into devel,47
[Security] Bump rack from 2.2.2 to 2.2.3,47
Merge branch '1.2',47
Translation updated,47
Merge remote-tracking branch 'origin/master' into develop,47
cleaning up,47
Update openssl on AT 9.0,47
build(deps-dev): Bump @typescript-eslint/eslint-plugin,47
Merge branch 'v4l_for_linus' of git://git.kernel.org/pub/scm/linux/kernel/git/mchehab/linux-media,47
Merge branch 'timers-core-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,47
Cosmetic changes,47
Bugfixes,47
Merge branch '1.2' into 1.3,47
tests/calcs/hazard/classical/post_processing_test:,47
Translated using Weblate (Belarusian (latin)),47
Merge branch 'acpica',47
Merged,47
Merge branch '1GbE' of git://git.kernel.org/pub/scm/linux/kernel/git/jkirsher/next-queue,46
bump silk,46
Merge branch 'brandon_jenkins',46
Applying InnoDB plugin snashot ,46
        Reviewed by Simon Fraser.,46
Updated Swedish translation.,46
Update mongo,46
Scripts/Icecrown Citadel,46
Fixed typo,46
fix: package.json & .snyk to reduce vulnerabilities,46
l10n: Updated Turkish (tr) translation to 100%,46
Merge tag 'batman-adv-for-davem' of git://git.open-mesh.org/linux-merge,46
Re-write many calls to WrapUnique() with MakeUnique(),46
Remove unused variable declaration.,46
Merge branch 'master' of github.com:neuropoly/spinalcordtoolbox,46
Translated using Weblate (日本語),46
chore(deps): bump lodash from 4.17.15 to 4.17.19,46
Remove neons plugin.,46
git subrepo push gherkin/javascript,46
Small refactoring,46
Merge git://git.kernel.org/pub/scm/linux/kernel/git/nab/target-pending,46
minor,46
"	reviewed by: Darin Adler  <darin@eazel.com>",46
Translated using Weblate (Bengali (Bangladesh)),46
Update expat on AT next,46
Merge branch '1.5' into 1.6,45
build: Updating mediawiki/mediawiki-phan-config to 0.10.2,45
Merge git://git.infradead.org/mtd-2.6,45
Merge branch 'upstream-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/mfasheh/ocfs2,45
add lower-constraints job,45
Translated using Weblate (Bosnian),45
Bump xunit.runner.visualstudio from 2.4.2 to 2.4.3,45
Merge remote-tracking branch 'upstream/develop' into develop,45
Merge commit for internal changes,45
Merge branch 'master' of ssh://git.code.sf.net/p/codelite/codelitegit,45
Translated using Weblate (Azerbaijani),45
Merge branch 'for-linus' of master.kernel.org:/home/rmk/linux-2.6-arm,45
add python 3.6 unit test job,45
Merge branch 'activiti6' of https://github.com/Activiti/Activiti into activiti6,45
Merge branch 'fixes' of git://git.linaro.org/people/rmk/linux-arm,45
Merge branch '1.3' into 1.4,45
OAK-4412 - Lucene hybrid index,45
[Security] Bump rack from 2.0.5 to 2.0.6,45
Rearrange the file layout in preparation of becoming a monorepo,45
; Merge from origin/emacs-25,45
Merge branch 'couchbase/mad-hatter' into 'couchbase/master',44
l10n: Polish update,44
git subrepo pull cucumber-expressions/ruby,44
Apply astyle-kdelibs,44
Merge from 3.0:,44
Update README.rst,44
Merge branch '1.4' into 1.5,44
WIP : Rendering Client,44
Merge branch '4.3',44
Add Python3 wallaby unit tests,44
Tweaks,44
Merge a change from MySQL AB:,44
        Reviewed by Maciej Stachowiak.,44
git subrepo push gherkin/java,44
fix build,44
Merge branch '3.8',44
Export of internal doc changes to Abseil OSS: rpc://team/absl-team/Abseil-Docs,44
Update for #7,44
Merge branch 'irq-core-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,44
Translated using Weblate (Malayalam),44
Bump eslint from 7.9.0 to 7.10.0,44
Bump eslint-utils from 1.3.1 to 1.4.3,44
Pontoon: Update Russian (ru) localization of AMO Frontend,44
Merge branch '6.0' of github.com:gchq/stroom,44
Update tests,44
Bump bl from 4.0.2 to 4.0.3,43
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jikos/trivial,43
Bump rake from 12.3.2 to 12.3.3,43
Merge branch 'branches/rudder/2.4',43
Update dependencies on 'dev' in qt/qt3d,43
Bump uglifier from 4.1.20 to 4.2.0,43
Merge branch 'master' into 5.0,43
scheduler errors,43
Add README.md files in all roles,43
build: Updating mediawiki/mediawiki-phan-config to 0.10.3,43
Bump pytest from 5.4.2 to 5.4.3,43
Bump eslint from 7.5.0 to 7.6.0,43
Merge branch 'mad-hatter',43
Update Devtools DEPS.,43
JCR-890: concurrent read-only access to a session,43
Bump nokogiri from 1.10.4 to 1.10.8,43
chore(release): 1.0.1 [skip ci],43
"build: Set ""root"": true, in .eslintrc.json",43
Bump Microsoft.NET.Test.Sdk from 16.3.0 to 16.4.0,43
[Security] Bump loofah from 2.3.0 to 2.3.1,43
Add Python3 victoria unit tests,43
[Security] Bump lodash from 4.17.15 to 4.17.19,43
Update regression test checksums,43
XWIKI-4677: Introduce new Model module,43
Merge branch 'i2c-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/jdelvare/staging,43
Merge branch '1.6' into 1.7,42
Merge remote-tracking branch 'remotes/jnsnow/tags/ide-pull-request' into staging,42
Merge git://git.kernel.org/pub/scm/linux/kernel/git/mason/btrfs-unstable,42
More work [skip CI],42
Bump eslint from 7.8.1 to 7.9.0,42
Bump maven-compiler-plugin from 3.8.0 to 3.8.1,42
Update package.json,42
Update meta information in all roles,42
Publish master to opensource,42
git subrepo push cucumber-expressions/java,42
Bump acorn from 6.3.0 to 6.4.1,42
Merge branch 'perf/urgent' into perf/core,42
build: Updating mediawiki/phan-taint-check-plugin to 1.3.0,42
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/ericvh/v9fs,42
Delay expiry of histograms causing alerts.,42
just-install-updater automatic commit,42
